date,id,news_heading_eng,news_heading_swa,news_type
2020-08-17,bbc352,9-year-old designer stephen wamukota will be featured,mbunifu stephen wamukota mwenye umri wa miaka 9 atashiriki,Local News
2020-09-16,bbc371,county governments in kenya have been ordered to send their employees on vacation,serikali za kaunti nchini kenya zimeagizwa kuwatuma wafanyikazi wao likizo,Local News
2020-03-08,bbc182,terrorism somalia : al-shabab commander bashir mohamed qorgab 'killed in an aerial attack ',ugaidi somalia : kamanda wa al-shabab bashir mohamed qorgab 'auawa katika shambulio la angani ',International news
2019-11-04,bbc72,the chief justice of kenya says he is being plotted and threatened to leave his duties where ?,jaji mkuu wa kenya anasema anapangwa na kutishiwa kuacha majukumu yake wapi ?,Local News
2020-10-15,bbc395,tanzanian government to use aircraft to put out the fire on mount kilimanjaro,serikali ya tanzania kutumia ndege kuzima moto kwenye mlima kilimanjaro,Local News
2022-05-27,bbc660,kenyan election 2022 : have the jubilee government 's promises to kenyans been fulfilled ?,uchaguzi wa kenya 2022 : je ahadi za serikali ya jubilee kwa wakenya zimetimizwa ?,Local News
2020-01-20,bbc132,mp babu owino continues to remain in custody,mbunge babu owino anaendelea kusalia rumande,Local News
2020-06-10,bbc301,bbc rose : two sisters who eat soap for food,bbc rose : dada wawili wanaokula sabuni kwa chakula,Local News
2020-04-19,bbc231,corona virus : eight people have been confirmed infected in kenya the number reaches 270,virusi vya corona : watu wanane wamethibitishwa kuambukizwa nchini kenya idadi yafikia 270,Local News
2020-08-26,bbc358,the general election campaign has officially started in tanzania,kampeni za uchaguzi mkuu zimeanza rasmi nchini tanzania,Local News
2021-05-19,bbc536,bbc rose : my husband left me and married my sister,bbc rose : mume wangu aliniacha na kumuoa dada yangu,Local News
2021-03-05,bbc465,can this labor leader be the right candidate for the presidency in kenya ?,je kiongozi huyu wa chama cha labour anaweza kuwa mgombea sahihi wa kiti cha urais nchini kenya ?,Local News
2020-04-17,bbc227,corona virus : those infected with corona in kenya reached 246,virusi vya corona : walioambukizwa virusi vya corona nchini kenya wamefikia 246,Local News
2020-04-18,bbc230,corona virus : the driver who transported the fake coffin was arrested in kenya,virusi vya corona : dereva aliyesafirisha jeneza bandia alikamatwa nchini kenya,Local News
2019-09-24,bbc36,where did the poisonous ginger come from ?,tangawizi yenye sumu ilitoka wapi ?,Local News
2020-01-25,bbc136,eliud kipchoge : it was not a competition but i was sending a message,eliud kipchoge : halikuwa shindano lakini nilikuwa natuma ujumbe,Sports news
2020-08-04,bbc342,dan matakaya : my wife always destroyed my appearance with acid,dan matakaya : mke wangu kila mara aliharibu sura yangu kwa asidi,Local News
2020-08-27,bbc359,the planes of 3 kenyan companies are blocked from entering tanzania,ndege za kampuni 3 za kenya zimezuiwa kuingia tanzania,Local News
2019-09-12,bbc29,how do stereotypes contribute to the hardships of widows ?,je dhana potofu huchangiaje ugumu wa maisha ya wajane ?,Local News
2019-10-10,bbc51,cynthia wambua : depression victim says she is not crazy .,cynthia wambua : mwathiriwa wa msongo wa mawazo anasema hana kichaa .,Local News
2019-11-21,bbc85,sky news has admitted that the report about the person who fell from the kenya airways flight was false,sky news imekiri kwamba ripoti kuhusu mtu aliyeanguka kutoka kwa ndege ya kenya airways ilikuwa ya uongo,Local News
2021-04-02,bbc477,kenya philippines bangladesh will be banned from entering the uk,kenya ufilipino bangladesh zitapigwa marufuku kuingia uingereza,International news
2019-12-15,bbc117,eliud kipchoge wins the bbc 's annual sportsman of the year 2019 award,eliud kipchoge ashinda tuzo ya bbc ya mwanaspoti bora wa mwaka wa 2019,Local News
2021-02-10,bbc457,bbc rose : kimada slept with me when i went to give birth at the hospital,bbc rose : kimada alilala nami nilipoenda kujifungua hospitalini,Local News
2020-05-24,bbc280,the number of corona patients in kenya reaches 1214 after the announcement of 22 new patients,idadi ya wagonjwa wa corona nchini kenya yafikia 1214 baada ya kutangazwa kwa wagonjwa wapya 22,Local News
2020-05-20,bbc275,corona virus : the presidents of tanzania and kenya ask the leaders of their countries to resolve the border dispute,virusi vya corona : marais wa tanzania na kenya wawaomba viongozi wa nchi zao kutatua mgogoro wa mpaka,International news
2019-10-09,bbc49,ineos 1:59 : kenyan olympic champion eliud kipchoge is determined to make history will he succeed ?,ineos 1:59 : bingwa wa olimpiki mkenya eliud kipchoge amepania kuweka historia je atafaulu ?,Sports news
2020-05-28,bbc282,moline odwar : when she is menstruating sometimes she even faints,moline odwar : anapokuwa kwenye hedhi wakati mwingine hata huzimia,Health news
2021-09-13,bbc578,find out how online influencers in kenya are paid to spread rumours,jua jinsi washawishi mtandaoni nchini kenya wanavyolipwa ili kueneza uvumi,Entertainment news
2020-07-07,bbc319,corona virus : those affected by the travel ban in kenya now get some light,virusi vya corona : wale walioathiriwa na marufuku ya kusafiri nchini kenya sasa wanapata mwanga,Local News
2020-05-10,bbc259,corona virus : kenyan youth invent the covident system expected to identify those with the virus,virusi vya corona : vijana wa kenya wavumbua mfumo wa covident unaotarajiwa kuwatambua walio na virusi hivyo,Local News
2021-06-23,bbc547,tokyo 2020 : the second member of uganda 's olympic team has been confirmed to have corona in japan,tokyo 2020 : mwanachama wa pili wa timu ya olimpiki ya uganda amethibitishwa kuwa na corona nchini japan,International news
2021-09-09,bbc577,find out how kenyans are used to cheat in europe,jua jinsi wakenya wanatumiwa kudanganya huko uropa,Entertainment news
2020-06-20,bbc311,corona virus : how refugees were affected by the corona epidemic in africa,virusi vya corona : jinsi wakimbizi walivyoathiriwa na janga la corona barani afrika,Local News
2020-03-17,bbc191,coronavirus : countries in which you will be imprisoned if you violate the instructions to control the corona virus,coronavirus : nchi ambazo utafungwa ikiwa utakiuka maagizo ya kudhibiti virusi vya corona,International news
2020-04-17,bbc228,corona virus : how small businessmen in kenya were affected,virusi vya corona : jinsi wafanyabiashara wadogo nchini kenya walivyoathirika,Financial news
2020-03-18,bbc193,coronavirus : warning of a doctor who decided to self-isolate to prevent infection,coronavirus : onyo la daktari ambaye aliamua kujitenga ili kuzuia maambukizi,Health news
2021-05-07,bbc532,president samia suluhu hassan : her five quotes that made kenyans happy,rais samia suluhu hassan : nukuu zake tano zilizowafurahisha wakenya,Local News
2021-10-08,bbc583,malaria vaccine - unanswered questions,chanjo ya malaria - maswali yasiyo na majibu,Health news
2019-12-09,bbc110,governor sonko has denied allegations of corruption against him,gavana sonko amekanusha madai ya ufisadi dhidi yake,Local News
2020-07-14,bbc325,corona virus : 497 new people are infected in kenya,virusi vya corona : watu wapya 497 wameambukizwa nchini kenya,Local News
2020-04-08,bbc214,corona virus : the government announces 7 more cases of infection in kenya,virusi vya corona : serikali yatangaza visa 7 zaidi vya maambukizi nchini kenya,Local News
2020-08-03,bbc341,a woman whose hands were cut off by her husband,mwanamke ambaye mikono yake ilikatwa na mumewe,Local News
2020-10-16,bbc397,zitto kabwe : ' i will vote for tundu lissu to be the president of tanzania ',zitto kabwe : 'nitampigia kura tundu lissu kuwa rais wa tanzania ',Local News
2019-12-06,bbc104,tassia : what happened when the building collapsed in kenya ?,tassia : je nini kilitokea wakati jengo lilipoporomoka nchini kenya ?,Local News
2020-03-16,bbc189,coronavirus : nurses of patients infected with the corona virus in kenya are starting a cold strike,coronavirus : wauguzi wa wagonjwa walioambukizwa virusi vya corona nchini kenya waanza mgomo baridi,Health news
2020-06-21,bbc312,corona virus : 260 people are confirmed to have the virus within 24 hours in kenya,virusi vya corona : watu 260 wamethibitishwa kuwa na virusi ndani ya saa 24 nchini kenya,Local News
2021-01-03,bbc447,francisco ouma : a kenyan who owns a large cave claiming it is a command given to him by god,francisco ouma : mkenya anayemiliki pango kubwa akidai kuwa ni amri aliyopewa na mungu,Local News
2020-12-18,bbc437,mike gidion kioko mbuvi sonko the 'bling bling ' governor,mike gidion kioko mbuvi sonko gavana wa 'bling bling ',Local News
2020-05-31,bbc288,corona virus : the number of infections is increasing by the day in uganda while the first person died in rwanda,virusi vya corona : idadi ya maambukizi inaongezeka siku hadi siku nchini uganda huku mtu wa kwanza akifariki nchini rwanda,Local News
2020-02-09,bbc154,daniel toroitich arap moi : kenyans pay their last respects for the second day in a row,daniel toroitich arap moi : wakenya watoa heshima zao za mwisho kwa siku ya pili mfululizo,International news
2020-12-09,bbc430,coronavirus kenya : the doctor who helped children smile,coronavirus kenya : daktari aliyesaidia watoto kutabasamu,Local News
2020-09-16,bbc370,tanzania lifts the ban against kenyan flights,tanzania yaondoa marufuku dhidi ya safari za ndege za kenya,International news
2019-10-29,bbc67,retired kenyan president daniel arap moi is being treated in hospital,rais mstaafu wa kenya daniel arap moi amelazwa hospitalini kwa matibabu,Local News
2020-05-27,bbc281,bbc rose : without alcohol anne 's body was shaking unable to do anything,bbc rose : bila pombe mwili wa anne ulikuwa ukitetemeka hakuweza kufanya lolote,Health news
2019-12-27,bbc123,tanzania leads in the top ten songs of east africa 2019,tanzania yaongoza katika nyimbo kumi bora za afrika mashariki 2019,Local News
2021-04-05,bbc480,why are some kenyans upset with the imf loan to their government ?,kwa nini baadhi ya wakenya wanakerwa na mkopo wa imf kwa serikali yao ?,Financial news
2019-12-13,bbc116,photos of the week in africa 6 - 13 december 2019,picha za wiki barani afrika 6 - 13 desemba 2019,Local News
2020-12-20,bbc442,presidents uhuru kenyatta of kenya and his somali counterpart mohamed farmajo meet face to face at the igad meeting,marais uhuru kenyatta wa kenya na mwenzake wa somalia mohamed farmajo wakutana ana kwa ana katika mkutano wa igad,Local News
2020-03-13,bbc186,coronavirus : kenya announces one more person with the virus,coronavirus : kenya yatangaza mtu mmoja zaidi aliye na virusi hivyo,Local News
2019-12-10,bbc111,sudan to pay the victims of the 1998 bomb tragedy in kenya and tanzania,sudan kuwalipa wahanga wa janga la bomu la mwaka 1998 nchini kenya na tanzania,International news
2020-07-22,bbc332,bbc rose : a married woman with two brothers from the same family,bbc rose : mwanamke aliyeolewa na ndugu wawili wa familia moja,Local News
