date,id,news_heading_eng,news_heading_swa,news_type
2021-08-12,bbc567,william ruto : a chicken seller who rose through the ranks to become kenya 's deputy president .,william ruto : mchuuzi wa kuku aliyepanda vyeo na kuwa naibu rais wa kenya .,Local News
2021-05-23,tl1446,the number of young people in agriculture and animal husbandry is very low - organizational studies .,idadi ya vijana katika kilimo na ufugaji wa wanyama ni ndogo sana - mafunzo ya shirika .,Local News
2021-10-20,tl1056,the court was told how a woman stole from a businessman,mahakama ilielezwa jinsi mwanamke alivyoiba kutoka kwa mfanyabiashara,Local News
2021-07-20,tl539,man accused of rape .,mtuhumiwa wa ubakaji .,Local News
2021-03-07,tl1670,uhuru orders kdf land to be returned to the samburu community,uhuru aagiza ardhi ya kdf irejeshwe kwa jamii ya samburu,Local News
2021-03-04,tl1650,mathare safety hazard areas listed,maeneo hatarishi ya usalama wa mathare yaorodheshwa,Local News
2021-07-02,tl423,the 11 soldiers who died in the helicopter crash were fully dedicated ',askari 11 waliofariki katika ajali ya helikopta walijitolea kikamilifu ',Local News
2021-08-10,tl669,chiefs express fears about hunger,machifu waelezea hofu kuhusu njaa,Local News
2022-02-25,bbc622,russia and ukraine : some east african citizens in ukraine and their parents express their feelings,urusi na ukraine : baadhi ya raia wa afrika mashariki nchini ukraine na wazazi wao wanaelezea hisia zao,International news
2021-04-16,tl1255,student denies killing his family,mwanafunzi akanusha kuua familia yake,Local News
2021-07-19,tl513,ruto again uses the bible to attack uhuru and raila,ruto tena atumia biblia kumshambulia uhuru na raila,Local News
2021-03-30,tl1813,neighbor 's drone scared ruto 's wife,ndege isiyo na rubani ya jirani ilimtisha mke wa ruto,Local News
2022-06-08,bbc501,second-hand kenya : why second-hand clothes have sparked a debate in kenya ?,mtumba kenya : kwa nini mitumba imezua mjadala nchini kenya ?,Entertainment news
2021-02-21,tl1588,the jomvu now want their land back .,jomvu sasa wanataka ardhi yao irudishwe .,Local News
2020-02-07,bbc152,coronavirus : kenya changes its position to send home students who are in wuhan china,coronavirus : kenya yabadili msimamo wake wa kuwapeleka nyumbani wanafunzi walioko wuhan uchina,Local News
2020-10-16,bbc397,zitto kabwe : ' i will vote for tundu lissu to be the president of tanzania ',zitto kabwe : 'nitampigia kura tundu lissu kuwa rais wa tanzania ',Local News
2021-03-30,tl1811,kio mombasa county to order residents to use new bridge instead of ferries,kaunti ya kio mombasa kuwaagiza wakazi kutumia daraja jipya badala ya feri,Local News
2021-08-09,tl663,isuzu ea plans hot reception kipchoge,isuzu ea mipango moto mapokezi kipchoge,Local News
2021-06-23,tl364,the parliament of uganda is closed for two weeks due to the severity of corona,bunge la uganda limefungwa kwa wiki mbili kutokana na ukali wa corona,Local News
2021-02-07,tl1504,kenyan women pay double to access m-pesa services compared to men - study,wanawake wa kenya hulipa mara mbili kupata huduma za m-pesa ikilinganishwa na wanaume - utafiti,Local News
2021-12-17,tl1150,i was called to assist in the execution of the murder of a lawyer on my way to gikomba - the accused,niliitwa kusaidia katika utekelezaji wa mauaji ya wakili nikiwa njiani kuelekea gikomba - mshtakiwa,Local News
2021-07-20,tl540,30 children from mukuru receive education funding,watoto 30 kutoka mukuru wapata ufadhili wa elimu,Local News
2021-10-01,tl982,kenyan arrested in spain for turning into a cannibal,mkenya akamatwa uhispania kwa kugeuka kuwa mshumaa,Local News
2021-06-07,tl195,edit : appointment of judges questioned,edit : uteuzi wa majaji waliohojiwa,Local News
2021-04-01,tl1166,manda airport expansion begins,upanuzi wa uwanja wa ndege wa manda waanza,Local News
2022-02-24,bbc621,mps approve the first bisexual person to do government work in kenya what message does this send ?,wabunge wameidhinisha mtu wa kwanza mwenye jinsia mbili kufanya kazi za serikali nchini kenya je hii inatuma ujumbe gani ?,Local News
2021-08-01,tl617,we need to be creative in our jobs at first,tunahitaji kuwa wabunifu katika ajira zetu mwanzoni,Local News
2021-10-25,tl1067,the family of masten wanjala denies it the body remains in mochari,familia ya masten wanjala yakanusha mwili bado upo mochari,Local News
2021-05-11,tl1389,coastal schools fail to shine kcse,shule za pwani zashindwa kung'ara kcse,Local News
2021-06-23,tl363,a new type of corona virus raises fear in india .,aina mpya ya virusi vya corona inazua hofu nchini india .,International news
2020-10-09,bbc389,liban abdullahi omar : westgate attack suspect 'will be chased by armed men ' after release in kenya,liban abdullahi omar : mshukiwa wa shambulio la westgate 'atafukuzwa na watu wenye silaha ' baada ya kuachiliwa nchini kenya,Local News
2021-03-19,tl1749,magufuli 's administration oppressed human rights,utawala wa magufuli wakandamiza haki za binadamu,Local News
2022-01-21,bbc609,an elephant gives birth to twins in a rare event in kenya,tembo ajifungua watoto mapacha katika tukio nadra nchini kenya,Local News
2021-06-14,tl288,police recover stolen bridge from mukuru-kayaba,polisi wapata daraja lililoibiwa kutoka mukuru-kayaba,Local News
2021-08-28,tl762,tsc gets shield to prevent teachers from engaging in bodaboda,tsc yapata ngao kuzuia walimu kujihusisha na bodaboda,Local News
2021-06-23,tl342,the government condescends about orders for churches,serikali yalaani kuhusu maagizo kwa makanisa,Local News
2022-02-11,tl23,parties ready to harvest through the primary,vyama viko tayari kuvuna kupitia msingi,Local News
2022-05-03,tl63,200 veterans receive treatment and food mavoloni area,maveterani 200 wapata matibabu na chakula eneo la mavoloni,Local News
2021-04-03,tl1176,bishop wants government to vaccinate all kenyans,askofu ataka serikali kuwachanja wakenya wote,Local News
2020-04-14,bbc220,corona virus : covid-19 changed african culture,virusi vya corona : covid-19 ilibadilisha utamaduni wa kiafrika,Local News
2019-12-09,bbc110,governor sonko has denied allegations of corruption against him,gavana sonko amekanusha madai ya ufisadi dhidi yake,Local News
2021-09-27,tl933,crying 89 kwale families fearing eviction,walilia familia 89 za kwale zahofia kufukuzwa,Local News
2021-03-23,tl1770,2500 students to get free food in 18 public schools in ruiru,wanafunzi 2500 kupata chakula cha bure katika shule 18 za umma ruiru,Local News
2020-01-05,bbc125,al-shabab attack affected security in lamu area,shambulizi la al-shabab liliathiri usalama eneo la lamu,Local News
2021-03-12,tl1699,keroche 's daughter admitted lali divorced her out of love brother tells court,binti wa keroche alikiri lali aliachana naye kutokana na mapenzi ndugu aiambia mahakama,Local News
2019-08-26,bbc15,is it true that monday is an `` unpleasant '' day ?,je ni kweli kwamba jumatatu ni siku `` isiyopendeza '' ?,Local News
2021-07-22,bbc557,madagascar says it has foiled a plot to kill president andry rajoelina,madagascar inasema imetibua njama ya kumuua rais andry rajoelina,International news
2021-10-25,tl1066,more than 500 driving schools at risk of closure,zaidi ya shule 500 za udereva hatarini kufungwa,Local News
2021-04-09,bbc486,egypt discovers a city that existed 3000 years ago,misri inagundua mji uliokuwepo miaka 3000 iliyopita,International news
2021-02-08,tl1511,karua : bbi is sabotaging the constitution,karua : bbi inahujumu katiba,Local News
