date,id,news_heading_eng,news_heading_swa,News type
2022-02-04,tl18,kuppet wants teachers to be given cbc training,kuppet ataka walimu wapewe mafunzo ya cbc,Local News
2021-03-29,tl1806,sossion called on the government to open schools in may,sossion alitoa wito kwa serikali kufungua shule mwezi mei,Local News
2022-05-19,tl79,slaughter and chicken meat processing center to be built in nairobi,kituo cha uchinjaji na usindikaji wa nyama ya kuku kujengwa nairobi,Local News
2021-03-13,tl1707,the situation in kenya one year of the covid-19 pandemic,hali nchini kenya mwaka mmoja wa janga la covid-19,Local News
2021-10-11,tl1027,the culture day was a special celebration,siku ya utamaduni ilikuwa sherehe maalumu,Local News
2021-02-20,tl1584,historic hotel closure blows scouts,kufungwa kwa hoteli ya kihistoria kunapuliza skauti,Local News
2021-12-17,tl1150,i was called to assist in the execution of the murder of a lawyer on my way to gikomba - the accused,niliitwa kusaidia katika utekelezaji wa mauaji ya wakili nikiwa njiani kuelekea gikomba - mshtakiwa,Local News
2021-06-24,tl388,police station closed due to corona,kituo cha polisi chafungwa kutokana na corona,Local News
2021-03-29,tl1800,sugu maragua thug avoids being killed by the police after he was caught taking an oath to makurutu,sugu maragua thug aepuka kuuawa na polisi baada ya kukamatwa akila kiapo makurutu,Local News
2021-05-20,tl1433,kortini claims smoking marijuana increases male power,kortini adai kuvuta bangi kunaongeza nguvu za kiume,Local News
2021-07-27,tl590,court blocks police 'arrests ',mahakama yazuia 'ukamataji ' wa polisi,Local News
2022-04-08,tl44,calling people to join groups cooperatives to reduce the high cost of living,wito kwa watu kujiunga na vikundi vyama vya ushirika kupunguza gharama kubwa za maisha,Financial news
2021-07-18,tl508,citizens to be educated about police reporting unit,wananchi kuelimishwa kuhusu kitengo cha taarifa polisi,Local News
2021-05-17,tl1414,king'ara will state the reasons for wanting ruiru to be divided into three constituencies,mfalme'ara ataeleza sababu za kutaka ruiru agawanywe katika maeneo bunge matatu,Local News
2021-10-04,tl994,families are authorized to own land of sh2b,familia zimeidhinishwa kumiliki ardhi ya sh2b,Local News
2021-07-10,tl471,miraa tax muguka rises .,ushuru wa miraa muguka apanda .,Financial news
2021-04-08,tl1213,a man who likes skirts is accused of rape,mwanaume anayependa sketi atuhumiwa kwa ubakaji,Local News
2021-07-06,tl457,poachers jailed for 16 years,majangili wafungwa jela miaka 16,Local News
2022-05-30,tl82,the church separates from the man allegedly burned 3 boys,kanisa latengana na mwanamume anayedaiwa kuwachoma wavulana 3,Local News
2021-06-25,tl402,coach nuno espirito best to be mourinho 's successor at spurs camp,kocha nuno espirito bora kuwa mrithi wa mourinho kambini mwa spurs,Sports news
2021-07-25,tl580,billions of government projects are the most 'chewed ' - report,mabilioni ya miradi ya serikali ndio 'chewed ' zaidi - ripoti,Local News
2021-06-07,tl197,corona : uganda suspends the opening of schools,corona : uganda yasitisha ufunguzi wa shule,Local News
2021-09-28,tl947,epra yashikilia kuwa ushuru na bei ya mafuta ngambo ndio sababu ya kupanda kwa bei ya mafuta,epra yashikilia kuwa ushuru na bei ya mafuta ngambo ndio sababu ya kupanda kwa bei ya mafuta,Local News
2021-08-17,tl701,six police officers linked to the murder of two brothers in embu county to remain in remand for 14 days,maafisa sita wa polisi waliohusishwa na mauaji ya ndugu wawili katika kaunti ya embu kusalia katika hifadhi yao kwa siku 14,Local News
2021-07-22,tl552,the chiefs looted billions of covid,machifu wapora mabilioni ya covid,Local News
2021-06-13,tl284,kingi aonya maafisa,kingi aonya maafisa,Local News
2021-12-01,tl1114,a woman suspected of being a terrorist .,mwanamke anayeshukiwa kuwa gaidi .,Local News
2021-09-10,tl827,kamket asleep cell again lempurkel defending himself,kamket kulala kiini tena lempurkel kujitetea,Local News
2022-07-25,tl149,kafyu baringo west pokot and elgeyo marakwet will not be suspended - the government holds,kafyu baringo pokot magharibi na elgeyo marakwet hawatasimamishwa kazi - serikali yashikilia,Local News
2021-03-11,tl1690,the councilor turns into a chef selling food,diwani ageuka kuwa mpishi anayeuza chakula,Local News
2022-04-28,tl55,the rest of the day missed the plate at the moi event,siku iliyosalia ilikosa sahani katika hafla ya moi,Local News
2021-02-08,tl1508,ruto insists he will be a pastor when he retires from politics .,ruto anasisitiza kuwa atakuwa mchungaji atakapostaafu siasa .,Local News
2021-06-04,tl178,modern houses built in ruiru and thika,nyumba za kisasa zilizojengwa ruiru na thika,Local News
2021-09-21,tl903,kenyans 'push ' up oil prices tz,wakenya 'wasukuma ' bei ya mafuta tz,Local News
2021-07-29,tl609,6 million shs . was found in the offices of judges muchelule and chitembwe,sh milioni 6 zilipatikana katika ofisi za majaji muchelule na chitembwe,Local News
2021-06-25,tl399,brazil defeated colombia and entered the quarter-finals of the copa america,brazil iliishinda colombia na kuingia robo fainali ya copa america,Sports news
2021-07-27,tl589,mcsk leader accused of forging car sales contracts,kiongozi wa mcsk atuhumiwa kughushi mikataba ya mauzo ya magari,Local News
2021-11-30,tl1110,how officials leaders were involved in the south b railway land sale saga .,jinsi maafisa viongozi walivyohusika katika sakata la uuzaji wa ardhi ya reli ya kusini b .,Local News
2021-04-17,tl1263,our intent is to help kenya pay off debt - imf,nia yetu ni kuisaidia kenya kulipa madeni - imf,Financial news
2021-09-08,tl824,residents burn the truck that hit and killed a student,wakazi wachoma lori lililomgonga na kumuua mwanafunzi,Local News
2021-04-15,tl1252,governors hepa the issue of waste of corona money,magavana hepa suala la upotevu wa pesa za corona,Local News
2021-06-23,tl359,he has a vision to play paid football,ana maono ya kucheza soka la kulipwa,Sports news
2021-06-24,tl375,man-united break the bank for sancho .,man-united yavunja benki kwa sancho .,Sports news
2021-07-09,tl469,will the trade agreement between kenya and the uk benefit small farmers ?,je makubaliano ya kibiashara kati ya kenya na uingereza yatawanufaisha wakulima wadogo ?,Local News
2022-06-28,tl122,the commission announces 14 thousand teaching job vacancies,tume yatangaza nafasi za kazi za kufundisha elfu 14,Local News
2021-02-08,tl1510,kiplagat the old man of moi 's era who owed kope,kiplagat mzee wa enzi za moi aliyekuwa akimdai kope,Local News
2021-05-08,tl1361,the main suspect in the murder of an nlc officer is wanted,mshukiwa mkuu wa mauaji ya afisa wa nlc anasakwa,Local News
2021-06-10,tl233,farmers are encouraged to embrace the cultivation of hass avocados it is profitable,wakulima wahimizwa kukumbatia kilimo cha hass avocados ina faida,Local News
2021-11-05,tl1077,please stop me !,tafadhali niache !,Local News
2021-08-26,tl748,lawyer wants jumwa to pay him sh22.6m .,wakili anataka jumwa amlipe sh22.6m .,Local News
2021-08-30,tl772,former nairobi county mca jailed for 2 years for corruption,aliyekuwa mca wa kaunti ya nairobi afungwa jela miaka 2 kwa ufisadi,Local News
2021-07-20,tl533,a bill in parliament to create a 'representative-elders ',muswada bungeni wa kuunda 'wawakilishi-wazee ',Local News
2021-09-30,tl967,google deletes misleading messages about corona vaccine youtube,google yafuta ujumbe wa kupotosha kuhusu youtube ya chanjo ya corona,International news
2021-04-16,tl1253,wabaga girls and boys,mabinti wabwaga wavulana,Local News
2021-04-17,tl1261,kizambini regarding sh40000 vegetable fraud,kizambini kuhusu udanganyifu wa mboga sh40000,Financial news
2021-03-08,tl1676,simanzi kiambukuta musician dies,mwanamuziki wa simanzi kiambukuta afariki dunia,Local News
2021-09-01,tl787,nhif needs reforms to improve services,nhif yahitaji mageuzi kuboresha huduma,Local News
2021-10-02,tl987,it is important for people to get the corona vaccine - dr. kantaria advises,ni muhimu kwa watu kupata chanjo ya corona - dkt . kantaria ashauri,Health news
2021-07-04,tl433,village chiefs prevent locals from building modern houses,wakuu wa vijiji wazuia wananchi kujenga nyumba za kisasa,Local News
2021-03-18,tl1735,tundu lissu says he will return to tanzania if he is allowed to expose the 'evils ' of magufuli 's administration .,tundu lissu anasema atarejea tanzania iwapo ataruhusiwa kufichua 'maovu ' ya utawala wa magufuli .,Local News
2022-04-15,tl45,raha kenyan swimmer kalombo grabs gold in africa zone four,muogeleaji wa raha kenya kalombo anyakua dhahabu kanda ya afrika kanda ya nne,Sports news
2021-04-05,tl1191,concerns of nakuru being in 'lockdown ',wasiwasi wa nakuru kuwa katika 'lockdown ',Local News
2021-05-01,tl1325,private schools complain of discrimination,shule binafsi zalalamikia ubaguzi,Local News
2021-08-18,tl707,'gicho pevu ' attacks governor joho 's family,'gicho pevu ' ashambulia familia ya gavana joho,Local News
2021-07-20,tl538,the episode of maria kimemengema in acting,kipindi cha maria kimemengema katika uigizaji,Entertainment news
2021-08-01,tl624,controversies about project implementation,utata kuhusu utekelezaji wa mradi,Local News
2021-09-04,tl805,iebc and kihara appeal to save bbi,iebc na kihara wakata rufaa kuokoa bbi,Local News
2021-06-08,tl213,pride of butula boys for language development,fahari ya butula boys kwa maendeleo ya lugha,Entertainment news
2021-05-17,tl1411,wetang'ula defends 5 judges regarding bbi,wetang'ula awatetea majaji 5 kuhusu bbi,Local News
2021-04-20,tl1276,sugarcane growers cry industrial action will bring losses to them,wakulima wa miwa walalamika hatua za viwandani zitaleta hasara kwao,Local News
2021-12-03,tl1121,corona wipes out 35 percent of small businesses,corona yafuta asilimia 35 ya wafanyabiashara wadogo,Financial news
